origional,rename
"bone_marrow_-_hematopoietic_cells_2","bone marrow"
"breast_-_adipocytes_2","breast adipocytes"
"breast_-_myoepithelial_cells_2","breast muscle"
"bronchus_-_respiratory_epithelial_cells_2","bronchus"
"cerebellum_-_cells_in_molecular_layer_2","cerebellum"
"cerebral_cortex_-_neuropil_2","cerebral cortex"
"cervix,_uterine_-_glandular_cells_2","uterine"
"colon_-_peripheral_nerve-ganglion_2","colon"
"esophagus_-_squamous_epithelial_cells_2","esophagus"
"fallopian_tube_-_glandular_cells_2","fallopian tube"
"gallbladder_-_glandular_cells_2","gallbladder"
"heart_muscle_-_myocytes_2","heart"
"hippocampus_-_glial_cells_2","hippocampus"
"kidney_-_cells_in_glomeruli_2","kidney vessel"
"kidney_-_cells_in_tubules_2","kidney tubule"
"lateral_ventricle_-_glial_cells_2","brain ventricle"
"lateral_ventricle_-_neuronal_cells_2","neuronal"
"liver_-_hepatocytes_2","liver"
"lung_-_pneumocytes_2","lung"
"nasopharynx_-_respiratory_epithelial_cells_2","nasopharynx"
"ovary_-_follicle_cells_2","ovary follicle"
"ovary_-_ovarian_stroma_cells_2","ovary"
"rectum_-_glandular_cells_2","rectum"
"salivary_gland_-_glandular_cells_2","salivary gland"
"seminal_vesicle_-_glandular_cells_2","seminal vesicle"
"skin_-_melanocytes_2","skin"
"small_intestine_-_glandular_cells_2","small intestine"
"soft_tissue_2_-_adipocytes_2","fatty tissue"
"soft_tissue_2_-_fibroblasts_2","soft tissue"
"spleen_-_cells_in_white_pulp_2","spleen"
"stomach,_lower_-_glandular_cells_2","lower stomach"
"stomach,_upper_-_glandular_cells_2","upper stomach"
"tonsil_-_germinal_center_cells_2","tonsil 1"
"tonsil_-_non-germinal_center_cells_2","tonsil 2"
"tonsil_-_squamous_epithelial_cells_2","tonsil 3"
"urinary_bladder_-_urothelial_cells_2","bladder"
"uterus,_post-menopause_-_glandular_cells_2","uterus 1"
"uterus,_pre-menopause_-_glandular_cells_2","uterus 2"
"vagina_-_squamous_epithelial_cells_2","vagina"
"vulva-anal_skin_-_epidermal_cells_2","vulval-anal skin"