heart muscle - myocytes,colon - glandular cells,appendix - lymphoid tissue,hippocampus - neuronal cells,"cervix, uterine - squamous epithelial cells","cervix, uterine - glandular cells",cerebellum - Purkinje cells,hippocampus - glial cells,esophagus - squamous epithelial cells,skeletal_muscle_myocytes,kidney - cells in tubules,bone marrow - hematopoietic cells,bronchus - respiratory epithelial cells,adrenal gland - glandular cells,fallopian tube - glandular cells,lung_macrophages,colon - endothelial cells,cerebral cortex - neuropil,cerebral cortex - glial cells,breast - myoepithelial cells,breast - glandular cells,breast - adipocytes,cerebellum - cells in molecular layer,cerebellum - cells in granular layer,cerebral cortex - endothelial cells,cerebral cortex - neuronal cells,kidney - cells in glomeruli,gallbladder - glandular cells,liver_hepatocytes,epididymis - glandular cells,appendix - glandular cells,lateral ventricle - glial cells,test_label
0.977,0.0,0.009,0.0,0.0005,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,heart muscle - myocytes
0.0,0.41,0.032,0.0,0.0,0.138,0.0,0.0675,0.0,0.043,0.003,0.0,0.0,0.0,0.017,0.0035,0.0,0.0,0.149,0.0325,0.0,0.0,0.0,0.0,0.0005,0.0,0.004,0.0,0.0,0.0,0.0,0.1,colon - glandular cells
0.0,0.0,0.368,0.0,0.0,0.0,0.0,0.5225,0.0,0.0,0.0,0.01,0.0,0.0,0.056,0.0265,0.0,0.0,0.0,0.0,0.0,0.002,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,appendix - lymphoid tissue
0.0,0.0,0.0,0.9995,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hippocampus - neuronal cells
0.0,0.0,0.0,0.0,0.7875,0.0,0.0,0.0005,0.0,0.015,0.0,0.0165,0.0,0.0,0.0165,0.0,0.0,0.0,0.032,0.0,0.0,0.0345,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,"cervix, uterine - squamous epithelial cells"
0.006,0.0,0.0,0.0005,0.0,0.6525,0.0,0.1655,0.0035,0.031,0.0,0.018,0.0,0.0,0.0,0.0275,0.003,0.0,0.0035,0.026,0.0,0.0275,0.012,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.023,"cervix, uterine - glandular cells"
0.0,0.0,0.0025,0.0,0.008,0.0,0.732,0.0635,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.012,0.0,0.0,0.033,0.0,0.0,0.0,0.139,0.002,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.002,cerebellum - Purkinje cells
0.0,0.0,0.0,0.01,0.0035,0.0,0.0,0.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.011,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hippocampus - glial cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5105,0.3935,0.0,0.0,0.0,0.0465,0.0,0.0005,0.0015,0.001,0.0,0.0005,0.0115,0.0,0.0,0.0005,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0325,esophagus - squamous epithelial cells
0.0,0.0,0.0,0.0015,0.0365,0.0,0.0,0.155,0.0,0.398,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.002,0.303,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,skeletal_muscle_myocytes
0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768,0.001,0.0,0.0,0.0005,0.0215,0.0,0.0,0.0585,0.0,0.0,0.145,0.001,0.0,0.0,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,kidney - cells in tubules
0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.174,0.0,0.0,0.0,0.3645,0.0,0.0,0.0,0.0005,0.026,0.006,0.0025,0.0,0.0,0.397,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0265,bone marrow - hematopoietic cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.9755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bronchus - respiratory epithelial cells
0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.1135,0.0,0.0145,0.0,0.0455,0.0,0.36,0.0,0.0,0.0,0.0,0.002,0.0075,0.0,0.411,0.0295,0.0,0.0,0.0,0.014,0.0,0.0,0.0005,0.0,0.0,adrenal gland - glandular cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.735,0.0725,0.0,0.0,0.112,0.0005,0.0,0.0,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,fallopian tube - glandular cells
0.0005,0.0,0.002,0.0,0.0,0.0,0.0005,0.0035,0.0,0.0015,0.0,0.0,0.0,0.0,0.2,0.676,0.0,0.0,0.054,0.0,0.0165,0.0365,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.005,lung_macrophages
0.0,0.0,0.0,0.009,0.036,0.0,0.0,0.0,0.0,0.0005,0.0005,0.0005,0.0,0.013,0.043,0.0075,0.5395,0.0,0.032,0.028,0.0,0.1895,0.0,0.001,0.0,0.0,0.0915,0.0,0.0,0.0005,0.0,0.008,colon - endothelial cells
0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.4775,0.0,0.0,0.0,0.0475,0.0,0.0,0.0,0.0,0.0,0.4615,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0005,cerebral cortex - neuropil
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0275,0.0,0.0005,0.0,0.0,0.0,0.026,0.0275,0.0,0.0,0.0,0.6555,0.0595,0.0,0.1795,0.0005,0.0045,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,cerebral cortex - glial cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.0,0.006,0.0,0.0135,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.576,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3835,breast - myoepithelial cells
0.0,0.0,0.0,0.123,0.001,0.0015,0.0945,0.0,0.001,0.0,0.0325,0.0055,0.0,0.0,0.0125,0.0635,0.037,0.0,0.0015,0.0245,0.447,0.059,0.067,0.0,0.0025,0.0,0.026,0.0,0.0,0.0,0.0,0.0005,breast - glandular cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9705,0.0,0.001,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,breast - adipocytes
0.0,0.0,0.0035,0.0,0.0005,0.001,0.0,0.062,0.0,0.0075,0.0,0.001,0.0,0.0,0.0,0.0115,0.0,0.0,0.01,0.0305,0.0,0.1995,0.5125,0.0,0.0,0.0,0.1585,0.0,0.002,0.0,0.0,0.0,cerebellum - cells in molecular layer
0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.3465,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0955,0.0,0.0005,0.022,0.502,0.0145,0.0,0.0005,0.0,0.0,0.0,0.0,0.003,cerebellum - cells in granular layer
0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.085,0.0015,0.001,0.0,0.0065,0.0,0.0,0.0,0.0425,0.0,0.0,0.002,0.0435,0.0,0.2785,0.0,0.0,0.5165,0.0,0.0185,0.0,0.0,0.0,0.0,0.004,cerebral cortex - endothelial cells
0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.007,0.0,0.0825,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.8205,0.065,0.0,0.0,0.0,0.0,0.0,cerebral cortex - neuronal cells
0.071,0.0,0.0,0.0075,0.0,0.0,0.0,0.0025,0.008,0.0035,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0,0.0495,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,kidney - cells in glomeruli
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0055,0.0,0.0,0.0135,0.0,0.0,0.4765,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,gallbladder - glandular cells
0.0,0.0,0.0,0.0,0.01,0.0255,0.0035,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135,0.0,0.0005,0.0,0.0,0.0,0.4815,0.0,0.0,0.0,0.0,0.001,0.0,0.402,0.0,0.0,0.0,liver_hepatocytes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.0,0.0085,0.0,0.041,0.0,0.0,0.0,0.0125,0.001,0.0,0.0,0.0095,0.0,0.082,0.004,0.0005,0.0,0.0,0.002,0.0,0.0,0.537,0.0,0.0,epididymis - glandular cells
0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.1465,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0095,0.0,0.0,0.0005,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.75,0.0065,appendix - glandular cells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,lateral ventricle - glial cells
